Mileage (km);Residual value (€)
5000;18645.2
10000;18644.8
15000;18644.4
20000;18644
25000;18628
30000;18616
35000;18552
40000;18488
45000;18424
50000;18364
55000;18320
60000;18276
65000;18220
70000;18164
75000;18072
80000;17984
85000;17848
90000;17712
95000;17552
100000;17392
105000;17220
110000;17044
115000;16848
120000;16648
125000;16456
130000;16268
135000;16020
140000;15768
145000;15556
150000;15340
155000;15036
160000;14728
165000;14424
170000;14120
175000;13812
